13:40:51: Login window launched.
13:40:55: Database connection established.
13:40:55: User Marcinek authenticated.
13:40:55: Database connection established.
13:40:55: Database connection established.
13:40:55: Books downloaded from database.
13:40:55: Database connection established.
13:40:55: Readers downloaded from database.
13:40:55: GUI initialized.
13:40:55: GUI established.
13:40:56: Login successfull.
13:40:59: Books downloaded from database.
13:40:59: Books downloaded from database.
13:40:59: Books downloaded from database.
13:40:59: Books downloaded from database.
13:40:59: Books downloaded from database.
13:41:00: Books downloaded from database.
13:41:00: Books downloaded from database.
13:41:01: Books downloaded from database.
13:41:01: Books downloaded from database.
13:41:02: Books downloaded from database.
13:41:19: Books downloaded from database.
13:41:19: Books downloaded from database.
13:41:20: Books downloaded from database.
13:41:20: Books downloaded from database.
13:41:21: Books downloaded from database.
13:41:22: Books downloaded from database.
13:41:23: Books downloaded from database.
13:41:23: Books downloaded from database.
13:41:23: Books downloaded from database.
13:41:23: Books downloaded from database.
13:41:25: Books downloaded from database.
13:41:29: Books downloaded from database.
13:41:29: Books downloaded from database.
13:41:30: Books downloaded from database.
13:41:31: Books downloaded from database.
13:41:34: Books downloaded from database.
13:41:36: Books downloaded from database.
13:41:42: Books downloaded from database.
13:41:43: Books downloaded from database.
13:41:46: Books downloaded from database.
13:41:47: Books downloaded from database.
13:41:49: Books downloaded from database.
13:41:50: Books downloaded from database.
13:41:50: Books downloaded from database.
13:41:50: Books downloaded from database.
13:41:53: Books downloaded from database.
13:41:53: Books downloaded from database.
13:41:53: Books downloaded from database.
13:41:55: Books downloaded from database.
13:41:55: Books downloaded from database.
13:41:55: Books downloaded from database.
13:41:55: Books downloaded from database.
13:41:56: Books downloaded from database.
13:41:56: Books downloaded from database.
13:41:56: Books downloaded from database.
13:41:57: Books downloaded from database.
13:41:57: Books downloaded from database.
13:41:57: Books downloaded from database.
13:41:59: Books downloaded from database.
13:42:00: Books downloaded from database.
13:42:00: Books downloaded from database.
13:42:00: Books downloaded from database.
13:42:00: Books downloaded from database.
13:42:00: Books downloaded from database.
13:42:05: Books downloaded from database.
13:42:05: Books downloaded from database.
13:42:05: Books downloaded from database.
13:42:05: Books downloaded from database.
13:42:06: Books downloaded from database.
13:42:06: Books downloaded from database.
13:42:06: Books downloaded from database.
13:42:07: Books downloaded from database.
13:42:07: Books downloaded from database.
13:42:07: Books downloaded from database.
13:42:07: Books downloaded from database.
13:42:08: Books downloaded from database.
13:42:31: BiblioTER closed.
13:42:31: BiblioTER launched.
